stfgov,stflife,stfeco,stfdem,reform,education,edulevel,male,age,edulevel.1,society,polinterest,tv,religious,ideology,family,prosp,absdate,difdate,pdwrk,unempl,hswrk,Treatment,pscores,distance,weights
6,7,6,6,0,0,3,1,36,3,6,2,2,2,5,0,1,17,-17,1,0,1,Control,0.46703463554279984,0.46703463554279984,1
7,9,5,8,0,0,6,0,41,6,7,3,1,5,7,0,1,20,-20,1,0,1,Control,0.5051897965195343,0.5051897965195343,1
2,10,2,4,1,1,2,1,20,2,5,3,1,1,4,1,0,43,43,0,0,0,Treated,0.44291896123487917,0.44291896123487917,1
2,8,4,8,1,0,6,0,47,6,8,3,3,1,4,0,1,50,50,1,0,1,Treated,0.3968363021463855,0.3968363021463855,1
3,10,4,10,1,0,6,1,44,6,8,3,2,1,7,0,1,30,30,1,0,0,Treated,0.4170250885170288,0.4170250885170288,1
5,10,7,10,1,0,2,0,77,2,9,3,2,7,8,0,0,45,45,0,0,1,Treated,0.3588755517728965,0.3588755517728965,1
2,9,7,7,1,0,7,1,56,7,8,3,4,0,3,0,0,28,28,1,0,0,Treated,0.30128878313681867,0.30128878313681867,1
6,9,5,7,0,0,5,0,29,5,5,2,2,4,5,0,1,10,-10,1,0,1,Control,0.5295601949802036,0.5295601949802036,1
6,9,4,7,0,0,3,0,50,3,7,2,1,7,3,1,1,29,-29,1,0,1,Control,0.4705705255104087,0.4705705255104087,1
4,9,6,8,0,1,2,1,18,2,7,3,2,6,6,1,1,9,-9,1,0,1,Control,0.4784647010349115,0.4784647010349115,1
5,8,6,9,0,0,3,1,59,3,6,3,2,4,5,0,0,10,-10,0,1,0,Control,0.3794771756173767,0.3794771756173767,1
6,7,6,8,0,0,2,1,54,2,7,3,2,2,4,1,0,6,-6,1,0,0,Control,0.3892558460577318,0.3892558460577318,1
4,8,5,7,0,1,1,0,16,1,7,3,1,5,6,0,1,14,-14,0,0,1,Control,0.5308044817912021,0.5308044817912021,1
8,9,7,9,1,0,6,0,55,6,5,3,2,5,4,0,0,40,40,0,0,0,Treated,0.40809404837876945,0.40809404837876945,1
7,10,8,9,1,0,2,1,60,2,5,3,3,5,6,0,0,50,50,1,0,0,Treated,0.37530534138801447,0.37530534138801447,1
5,8,3,8,0,0,6,0,53,6,6,3,1,3,3,1,0,1,-1,1,0,1,Control,0.4158988314333367,0.4158988314333367,1
6,9,6,7,0,0,5,0,43,5,7,2,1,6,5,0,1,28,-28,1,0,1,Control,0.4935583721040703,0.4935583721040703,1
7,9,6,7,1,0,5,1,47,5,8,2,0,2,4,0,0,21,21,1,0,0,Treated,0.43262662624297654,0.43262662624297654,1
6,8,5,8,1,0,7,0,32,7,7,3,3,5,3,0,0,51,51,1,0,0,Treated,0.487805239432803,0.487805239432803,1
3,7,4,7,1,0,5,1,40,5,5,2,1,2,8,0,1,43,43,1,0,0,Treated,0.46788189804214714,0.46788189804214714,1
7,10,8,6,1,0,6,1,55,6,6,4,1,7,7,1,1,16,16,1,0,0,Treated,0.434523324281277,0.434523324281277,1
6,9,8,8,0,0,5,1,48,5,8,4,3,8,10,0,0,6,-6,1,0,1,Control,0.4567598440484133,0.4567598440484133,1
5,8,4,7,0,0,6,0,66,6,5,3,1,9,6,0,0,13,-13,1,0,1,Control,0.4117875906763693,0.4117875906763693,1
6,3,4,6,0,0,7,1,70,7,6,3,2,1,2,0,0,28,-28,0,0,0,Control,0.2795167165824171,0.2795167165824171,1
4,9,9,8,1,0,6,0,57,6,7,3,2,6,4,0,0,53,53,1,0,0,Treated,0.40443851539901093,0.40443851539901093,1
2,7,4,6,1,0,2,1,37,2,4,2,2,3,4,0,1,7,7,0,1,0,Treated,0.4728549563985786,0.4728549563985786,1
2,4,8,8,0,0,3,0,85,3,5,4,4,1,5,0,0,31,-31,0,0,0,Control,0.24958338964048105,0.24958338964048105,1
7,10,8,10,1,0,5,1,55,5,7,3,2,0,0,0,1,6,6,1,0,0,Treated,0.33734788261853293,0.33734788261853293,1
4,8,4,5,1,0,5,1,32,5,7,2,2,2,6,1,0,28,28,1,0,1,Treated,0.47768510014668114,0.47768510014668114,1
5,10,5,6,1,1,1,0,17,1,2,2,0,0,7,0,1,21,21,0,0,0,Treated,0.5089716452165469,0.5089716452165469,1
5,8,3,7,1,0,6,0,55,6,5,3,3,5,5,0,0,22,22,1,0,1,Treated,0.3946537653407034,0.3946537653407034,1
7,7,7,6,1,0,3,1,51,3,5,2,3,6,5,0,0,6,6,1,0,0,Treated,0.40742423303540665,0.40742423303540665,1
4,7,4,7,0,1,2,1,17,2,5,2,2,0,6,0,0,14,-14,0,0,0,Control,0.43401264753489516,0.43401264753489516,1
3,10,6,6,0,0,2,0,56,2,8,2,2,5,6,0,0,14,-14,1,0,0,Control,0.4275183324181303,0.4275183324181303,1
4,10,4,9,0,0,3,1,53,3,8,2,0,6,5,0,0,28,-28,1,0,0,Control,0.4498960779783428,0.4498960779783428,1
6,10,2,9,0,1,2,1,17,2,8,3,1,9,4,0,1,29,-29,0,0,0,Control,0.5143268607648933,0.5143268607648933,1
6,10,8,8,0,0,3,1,51,3,7,2,2,6,10,1,0,21,-21,1,0,1,Control,0.4458297373421032,0.4458297373421032,1
3,9,4,8,0,0,6,0,55,6,7,3,3,7,5,1,0,13,-13,1,0,1,Control,0.40745833641306284,0.40745833641306284,1
6,9,6,6,1,0,6,0,44,6,7,2,0,6,7,0,1,43,43,0,0,1,Treated,0.5099061774993915,0.5099061774993915,1
2,8,3,9,1,0,4,1,46,4,7,3,1,5,7,1,0,56,56,1,0,1,Treated,0.46793374897108286,0.46793374897108286,1
4,8,3,5,0,0,6,1,60,6,7,3,4,7,9,0,0,20,-20,1,0,0,Control,0.35994815996996593,0.35994815996996593,1
4,10,8,9,0,0,3,0,73,3,8,3,5,5,10,0,0,14,-14,0,0,0,Control,0.3165646914088492,0.3165646914088492,1
